"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"285","BP","GO:0035592","establishment of protein localization to extracellular region","1/1","354/19219",0.0184192725948278,0.0207503423630529,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"286","BP","GO:0035630","bone mineralization involved in bone maturation","1/1","13/19219",0.000676413965346789,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"287","BP","GO:0035914","skeletal muscle cell differentiation","1/1","71/19219",0.00369426088766323,0.0184192725948278,NA,"Hlf",1,"STR vs CTX","STR","CTX"
"288","BP","GO:0038034","signal transduction in absence of ligand","1/1","68/19219",0.00353816535719853,0.0112352268360164,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"289","BP","GO:0042060","wound healing","1/1","316/19219",0.0164420625422756,0.0194470704382768,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"290","BP","GO:0042063","gliogenesis","1/1","316/19219",0.0164420625422756,0.0194470704382768,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"291","BP","GO:0042098","T cell proliferation","1/1","203/19219",0.0105624642281075,0.0152882529625372,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"292","BP","GO:0042102","positive regulation of T cell proliferation","1/1","95/19219",0.00494302513138023,0.0118441743989242,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"293","BP","GO:0042104","positive regulation of activated T cell proliferation","1/1","22/19219",0.00114470055674065,0.0111646069329911,NA,"Igf1",1,"PFC vs STR","PFC","STR"
"294","BP","GO:0042110","T cell activation","1/1","498/19219",0.025911858057131,0.025959665913325,NA,"Igf1",1,"PFC vs STR","PFC","STR"
