"Cluster" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"48" "blue" "mmu05134" "Legionellosis - Mus musculus (house mouse)" "6/94" "53/6190" 0.000134940733959619 0.00308864346618684 0.00236738129753718 "12747/11841/18035/21926/12475/24088" 6
"49" "blue" "mmu05161" "Hepatitis B - Mus musculus (house mouse)" "9/94" "141/6190" 0.000262833067234185 0.00541436118502421 0.0041499957984345 "26397/18035/13655/17869/11911/12575/21926/24088/16476" 9
"50" "blue" "mmu05417" "Lipid and atherosclerosis - Mus musculus (house mouse)" "10/94" "178/6190" 0.00033530228625136 0.00595605291347218 0.00456519129801138 "13198/216799/26397/18035/11911/21926/12475/24088/16476/15894" 10
"51" "blue" "mmu04620" "Toll-like receptor signaling pathway - Mus musculus (house mouse)" "7/94" "88/6190" 0.000346954538648865 0.00595605291347218 0.00456519129801138 "26397/18035/21926/26410/12475/24088/16476" 7
"52" "blue" "mmu04621" "NOD-like receptor signaling pathway - Mus musculus (house mouse)" "9/94" "148/6190" 0.000377289867358259 0.00597859328275395 0.00458246802459424 "21929/216799/18035/21926/192656/16476/18036/12363/11796" 9
"53" "blue" "mmu05133" "Pertussis - Mus musculus (house mouse)" "6/94" "66/6190" 0.000455829091067231 0.00670719948284639 0.0051409295985026 "16362/216799/21926/12475/16175/16476" 6
"54" "blue" "mmu04928" "Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)" "7/94" "99/6190" 0.000710630339418579 0.00975932332801515 0.00748031936230083 "11911/12575/13653/15200/18578/232341/75547" 7
"55" "blue" "mmu05145" "Toxoplasmosis - Mus musculus (house mouse)" "7/94" "102/6190" 0.0008495973120848 0.0109385653930918 0.00838418400083684 "26397/18035/12703/21926/24088/18036/11796" 7
"56" "blue" "mmu04625" "C-type lectin receptor signaling pathway - Mus musculus (house mouse)" "7/94" "104/6190" 0.00095359783942217 0.0115553620541745 0.0088569458769861 "19225/16362/216799/18035/13655/21926/16476" 7
"57" "blue" "mmu05166" "Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)" "10/94" "210/6190" 0.00122272104881237 0.013993363114186 0.0107256232351962 "237336/18035/17869/11911/23872/12575/21926/13653/16476/15894" 10
"58" "blue" "mmu05235" "PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)" "6/94" "82/6190" 0.00144627863521741 0.0156807052028835 0.0120189360267375 "381319/26397/18035/24088/16476/18036" 6
"59" "blue" "mmu05222" "Small cell lung cancer - Mus musculus (house mouse)" "6/94" "89/6190" 0.0022047899796322 0.0225661873776582 0.0172965156190533 "19225/17873/18035/17869/12575/11796" 6
"60" "blue" "mmu04380" "Osteoclast differentiation - Mus musculus (house mouse)" "7/94" "121/6190" 0.00230043657733409 0.0225661873776582 0.0172965156190533 "18035/12703/21926/16175/16476/14284/16477" 7
"61" "blue" "mmu05219" "Bladder cancer - Mus musculus (house mouse)" "4/94" "38/6190" 0.00247993876672211 0.0232212448156707 0.0177986035889147 "17869/12575/15200/56289" 4
"62" "blue" "mmu05203" "Viral carcinogenesis - Mus musculus (house mouse)" "8/94" "159/6190" 0.00271971531644424 0.024271103263407 0.0186032983623457 "237336/19696/18035/13655/11911/12575/58801/16476" 8
"63" "blue" "mmu05206" "MicroRNAs in cancer - Mus musculus (house mouse)" "8/94" "160/6190" 0.00282770135107655 0.024271103263407 0.0186032983623457 "19225/13435/17869/12703/12575/24136/17210/56289" 8
"64" "blue" "mmu05323" "Rheumatoid arthritis - Mus musculus (house mouse)" "5/94" "70/6190" 0.00403470083982463 0.033245934920155 0.0254823210936293 "21926/16175/24088/16476/15894" 5
"65" "blue" "mmu04657" "IL-17 signaling pathway - Mus musculus (house mouse)" "5/94" "74/6190" 0.00512113934235447 0.04057518094327 0.0311000364920312 "19225/21929/18035/21926/16476" 5
"66" "blue" "mmu05321" "Inflammatory bowel disease - Mus musculus (house mouse)" "4/94" "48/6190" 0.00582518833724176 0.0444440295359927 0.0340654288727588 "21926/16175/24088/16476" 4
"67" "blue" "mmu04912" "GnRH signaling pathway - Mus musculus (house mouse)" "5/94" "77/6190" 0.00606176462595651 0.0445972683195372 0.0341828832290781 "26397/11911/13653/15200/16476" 5
"68" "darkgreen" "mmu04114" "Oocyte meiosis - Mus musculus (house mouse)" "5/28" "105/6190" 9.1957888067009e-05 0.00910383091863389 0.00900219325287562 "12313/20878/107995/231207/12442" 5
"69" "antiquewhite4" "mmu04142" "Lysosome - Mus musculus (house mouse)" "16/168" "126/6190" 2.26959683894516e-07 5.8101679076996e-05 5.51870389259296e-05 "53599/12514/83429/27419/27426/56464/11432/19025/14466/16792/15932/12751/12752/11886/192654/15211" 16
"70" "antiquewhite4" "mmu04060" "Cytokine-cytokine receptor interaction - Mus musculus (house mouse)" "17/168" "195/6190" 1.85080981822775e-05 0.00236903656733152 0.00225019509479269 "15979/21935/15976/16155/94185/50498/12978/21941/21938/21937/16170/13857/16173/21813/12774/16164/12766" 17
"71" "antiquewhite4" "mmu04148" "Efferocytosis - Mus musculus (house mouse)" "13/168" "153/6190" 0.000240164064488016 0.020494000169644 0.0194659294374497 "11491/12929/16423/228545/17289/70839/11303/233571/192654/13857/71732/26395/235584" 13
"72" "antiquewhite4" "mmu00510" "N-Glycan biosynthesis - Mus musculus (house mouse)" "7/168" "53/6190" 0.000515162705872346 0.0329704131758301 0.0313164697517137 "208211/20014/230815/13200/57357/16430/13478" 7
"73" "antiquewhite4" "mmu00513" "Various types of N-glycan biosynthesis - Mus musculus (house mouse)" "6/168" "42/6190" 0.000852313259999536 0.0416689167163307 0.0395786174402648 "208211/20014/230815/13200/16430/15211" 6
"74" "antiquewhite4" "mmu04662" "B cell receptor signaling pathway - Mus musculus (house mouse)" "8/168" "76/6190" 0.000976615235539001 0.0416689167163307 0.0395786174402648 "14130/22324/240354/242248/26377/17096/232801/26395" 8
"75" "salmon4" "mmu04666" "Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)" "12/119" "87/6190" 7.67150322252907e-08 1.6877307089564e-05 1.2678168483548e-05 "16331/14131/18750/20963/18753/18805/242687/18707/16885/22323/13430/22376" 12
"76" "salmon4" "mmu05135" "Yersinia infection - Mus musculus (house mouse)" "13/119" "126/6190" 6.94639772381706e-07 7.64103749619877e-05 5.7399181191541e-05 "14131/140580/23880/18018/215280/18019/242687/18707/26431/19303/16885/320795/22376" 13
"77" "salmon4" "mmu04659" "Th17 cell differentiation - Mus musculus (house mouse)" "11/119" "91/6190" 1.07818896755992e-06 7.90671909543941e-05 5.93949711954061e-05 "20852/20851/12394/18018/18019/16194/21812/16190/60504/54721/17127" 11
"78" "salmon4" "mmu04072" "Phospholipase D signaling pathway - Mus musculus (house mouse)" "12/119" "131/6190" 6.73334565411325e-06 0.000370334010976229 0.00027819349149889 "64143/320207/104709/18750/20963/72318/18797/18796/18805/20416/18707/13430" 12
"79" "salmon4" "mmu04611" "Platelet activation - Mus musculus (house mouse)" "10/119" "110/6190" 4.38664158431444e-05 0.00193012229709835 0.00144990048155235 "14131/320207/104709/20963/18797/108101/18796/21894/18707/22323" 10
"80" "salmon4" "mmu04933" "AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)" "9/119" "98/6190" 9.91587755937018e-05 0.00357510525441337 0.00268560538250191 "20851/18750/18753/18018/18797/18796/21812/18707/17127" 9
