"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Dataset","Region","Comparison"
"57","BP","GO:0008366","axon ensheathment","8/187","152/18791",0.000143317060360001,0.0311831985974819,0.0277102028932482,"Cntn1/Mir204/Mir23b/Myo5a/Ntrk2/Pard3/Plp1/Ugt8a",8,"HPP vs PFC","HPP","PFC"
"58","BP","GO:0008593","regulation of Notch signaling pathway","5/127","83/18791",0.000248198387103751,0.0172752613008929,0.0145675440036408,"Bmp7/Nrarp/Tcim/Tgfb2/Yap1",5,"HPP vs STR","HPP","STR"
"59","BP","GO:0009306","protein secretion","17/343","355/18791",0.000304203242453587,0.0205922194891659,0.0175932927872449,"Abat/Adcy5/Eipr1/Ezr/Fbn1/Golph3/Llgl2/Myo5a/Myrip/Per2/Ptpn11/Rab11fip3/Sfrp1/Srebf1/Syt9/Tgfb2/Ttn",17,"HPP vs CTX","HPP","CTX"
"60","BP","GO:0009755","hormone-mediated signaling pathway","10/343","140/18791",0.000253726186853587,0.020247257064705,0.0172985686106047,"Abhd2/Bmp7/Esr2/Klf9/Nedd4/Ntrk2/Prlr/Ptpn11/Sfrp1/Yap1",10,"HPP vs CTX","HPP","CTX"
"61","BP","GO:0009914","hormone transport","15/343","328/18791",0.00108300012662096,0.0418201154123725,0.0357296859249845,"Abat/Adcy5/Aqp1/Bmp6/Eipr1/Fbn1/Myo5a/Myrip/Per2/Ptpn11/Rab11fip3/Sfrp1/Slc16a2/Srebf1/Syt9",15,"HPP vs CTX","HPP","CTX"
"62","BP","GO:0010038","response to metal ion","14/343","258/18791",0.000296163626431316,0.0205922194891659,0.0175932927872449,"Abat/Adgrv1/Anxa11/Aqp1/Bmp6/Cpne2/Fxn/Kcnh1/Ncam1/Slc25a13/Stk39/Syt9/Trpc1/Ttn",14,"HPP vs CTX","HPP","CTX"
"63","BP","GO:0010171","body morphogenesis","7/343","56/18791",6.83166489371561e-05,0.0106327398388866,0.00908425171043633,"Lef1/Msx1/Pdgfra/Phldb1/Ptpn11/Scx/Tgfb2",7,"HPP vs CTX","HPP","CTX"
"64","BP","GO:0010631","epithelial cell migration","14/343","291/18791",0.000972883279199355,0.040768442175973,0.0348311720385032,"Aqp1/Col18a1/Cxcl13/Dab2ip/Dock5/Emp2/Fap/Fgf18/Iqsec1/Kank1/Prox1/Ptpn11/Tgfb2/Tgfbr3",14,"HPP vs CTX","HPP","CTX"
"65","BP","GO:0010717","regulation of epithelial to mesenchymal transition","5/127","83/18791",0.000248198387103751,0.0172752613008929,0.0145675440036408,"Bmp7/Dab2ip/Lef1/Tgfb2/Tgfbr3",5,"HPP vs STR","HPP","STR"
"66","BP","GO:0010717","regulation of epithelial to mesenchymal transition","9/343","83/18791",2.03079052954324e-05,0.00793191113727535,0.00677675541841976,"Bmp7/Crb2/Dab2ip/Lef1/Pdpn/Phldb1/Sfrp1/Tgfb2/Tgfbr3",9,"HPP vs CTX","HPP","CTX"
