"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","description","entrez","result"
2089.63726704048,-0.650171810919612,0.128719958390316,-5.05105672073093,4.3937256569661e-07,6.84514038094e-06,"B3galt4","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4","54218","HPP_vs_CTX"
7686.78469241436,-0.649592445689715,0.160579642086049,-4.04529763082684,5.22566904918701e-05,0.000500846834350265,"Trim14","tripartite motif-containing 14","74735","HPP_vs_CTX"
535.024153180792,-0.646082303720021,0.147011195489578,-4.39478300661681,1.10883459995099e-05,0.000127017296766872,"Gm33305","predicted gene, 33305","102636161","HPP_vs_CTX"
4392.80134355336,-0.64419607264416,0.164474784320343,-3.91668592426592,8.97745845103788e-05,0.000817410177189126,"Tmem144","transmembrane protein 144","70652","HPP_vs_CTX"
1377.87606957428,-0.63769269750755,0.133769858732676,-4.76708806863515,1.86907622794021e-06,2.56652221997287e-05,"Panx1","pannexin 1","55991","HPP_vs_CTX"
288.196496022882,-0.635596261246004,0.19757997992122,-3.21690619413683,0.0012958095908753,0.00815267997358904,"8030453O22Rik","RIKEN cDNA 8030453O22 gene","77209","HPP_vs_CTX"
207.354207161589,-0.63544989991657,0.234511172001892,-2.70967858158776,0.00673484383636561,0.0322984081101609,"4833411C07Rik","RIKEN cDNA 4833411C07 gene","71624","HPP_vs_CTX"
3537.84987936401,-0.633822601211279,0.195446151010727,-3.24295258787926,0.00118297895246781,0.00756269886051451,"Lst1","leukocyte specific transcript 1","16988","HPP_vs_CTX"
123.46866878748,-0.632589200569007,0.237551404261972,-2.66295710831238,0.00774572865419958,0.0362366201265495,"A130051J06Rik","RIKEN cDNA A130051J0 gene","791370","HPP_vs_CTX"
3557.30512192343,-0.632042191096165,0.163823818632318,-3.85806042352551,0.000114290396620115,0.00100812511459617,"9930111J21Rik1","RIKEN cDNA 9930111J21 gene 1","667214","HPP_vs_CTX"
1167.56870291392,-0.631943601021524,0.175614616164927,-3.59846813905307,0.000320097055630476,0.00247897103694747,"Pde4d","phosphodiesterase 4D, cAMP specific","238871","HPP_vs_CTX"
3096.7862383018,-0.628318432691759,0.124460050309176,-5.04835432036969,4.45632089665315e-07,6.9133290343381e-06,"Gimap1","GTPase, IMAP family member 1","16205","HPP_vs_CTX"
25511.5146714121,-0.624054213983914,0.108081476149332,-5.77392386019673,7.74464436621739e-09,1.72808275806481e-07,"Il16","interleukin 16","16170","HPP_vs_CTX"
2446.11317968349,-0.622318231438644,0.123603628784313,-5.03478933069663,4.78374636378013e-07,7.40948313976597e-06,"Bach2","BTB and CNC homology, basic leucine zipper transcription factor 2","12014","HPP_vs_CTX"
664.378411161426,-0.62211271240023,0.235317144161766,-2.64372030612681,0.00820003835850897,0.0379699970093981,"Zfp619","zinc finger protein 619","70227","HPP_vs_CTX"
632.072681407392,-0.621486310672445,0.203986171166648,-3.04670805436471,0.00231362302072278,0.0132396312947969,"Guca1a","guanylate cyclase activator 1a (retina)","14913","HPP_vs_CTX"
4985.55051718495,-0.620297853330209,0.183947277852753,-3.37215021918807,0.000745837564950533,0.00513702543409725,"Phc2","polyhomeotic 2","54383","HPP_vs_CTX"
1682.55039878457,-0.619632496087276,0.200948636260999,-3.08353670677553,0.00204555873548017,0.011944174995754,"Tnfrsf17","tumor necrosis factor receptor superfamily, member 17","21935","HPP_vs_CTX"
892.644536716587,-0.61825808525513,0.222255788591496,-2.78174120536173,0.0054068135941591,0.0270410068999461,"Gm40860","predicted gene, 40860","105245398","HPP_vs_CTX"
256878.380309383,-0.618139024889162,0.117946207782745,-5.24085544172614,1.59833893930104e-07,2.75120443748064e-06,"Fcgr3","Fc receptor, IgG, low affinity III","14131","HPP_vs_CTX"
27759.3335639981,-0.61710709455685,0.0901224419955547,-6.84742979542531,7.51885691920645e-12,2.61615941197746e-10,"Tifab","TRAF-interacting protein with forkhead-associated domain, family member B","212937","HPP_vs_CTX"
211.926167325749,-0.616343007281626,0.223851808023521,-2.75335282177781,0.00589882865015246,0.0290616121992973,"E030042O20Rik","RIKEN cDNA E030042O20 gene","320474","HPP_vs_CTX"
1030.21369752242,-0.615239333386572,0.178575594332599,-3.4452598950374,0.000570510565580411,0.0040839082918201,"Ccdc166","coiled-coil domain containing 166","223648","HPP_vs_CTX"
